state,visited
Alabama, 4
Alaska, 1
Arizona, 13
Arkansas, 3
California, 179
Colorado, 5
Connecticut, 1
Florida, 6
Georgia, 3
Hawaii, 2
Idaho, 13
Illinois, 2
Indiana, 1
Iowa, 1
Kansas, 4
Kentucky, 1
Louisiana, 2
Maine, 1
Massachusetts, 1
Michigan, 4
Minnesota, 2
Mississippi, 1
Missouri, 3
Montana, 4
Nebraska, 1
Nevada, 12
New Mexico, 4
North Carolina, 4
Ohio, 4
Oklahoma, 5
Oregon, 30
Pennsylvania, 1
Rhode Island, 1
South Carolina, 2
South Dakota, 2
Tennessee, 2
Texas, 13
Utah, 7
Virginia, 3
Washington, 6
Wisconsin, 1
Wyoming, 5
